math_score,reading_score,writing_score,placement_score,clubjoin_score,placementoffer_count,gender
68,80,76,93,2019,3,male
63,84,62,78,2020,2,female
90,77,72,76,2019,2,female
76,85,67,78,2019,2,male
76,84,78,99,2018,3,female
74,89,64,100,2020,3,male
72,87,69,,,1,male
75,89,66,85,2021,3,male
,82,75,95,2020,3,female
69,85,69,88,2019,3,female
65,83,60,91,2020,3,male
72,89,,98,2018,3,female
62,81,70,78,2020,2,male
99,77,64,91,2018,3,female
64,99,80,97,2018,1,male
61,85,78,83,2018,2,male
70,75,79,86,2019,,female
75,81,92,91,2020,3,female
75,80,78,100,2018,3,female
80,81,68,80,2019,2,male
79,77,78,82,2018,2,male
72,76,78,83,2018,2,female
95,81,68,99,2019,3,male
65,97,95,79,2018,2,female
61,81,63,78,2020,2,female
63,76,,81,2018,2,male
87,86,63,94,2021,3,male
73,76,66,90,2020,3,female
76,90,64,76,2021,2,male
76,90,61,82,2020,2,male
